GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US2676460,Sterling Heights city,134346,107043,8802,254,10960,17,1006,6264,3275,53255,51515,1740,13641,37874,61193,5592,66785,0.4345,237300,69104
1600000US0952000,New Haven city,134023,43775,43160,1290,9176,127,20465,16030,41068,57525,52263,5262,38913,13350,62934,5449,68383,0.4969,205500,50569
1600000US4813024,Carrollton city,133434,57718,13504,1412,22536,108,16445,21711,42272,53080,50301,2779,21080,29221,76433,3018,79451,0.42,302800,86647
1600000US4848072,Midland city,132524,76288,10446,1175,3501,163,16628,24323,55161,55424,48227,7197,16203,32024,68812,3768,72580,0.4664,276100,72038
1600000US4052500,Norman city,128026,89283,6398,5656,5083,107,5431,16068,11827,55694,50642,5052,24604,26038,65672,4694,70366,0.4774,228600,57786
1600000US0669084,Santa Clara city,127647,39504,2839,993,60002,450,11390,12469,22550,50229,47004,3225,28092,18912,70314,4682,74996,0.4518,1382300,155238
1600000US1303440,Athens-Clarke County unified government (balance),127315,73962,31420,574,4928,85,7814,8532,14244,55195,51074,4121,31241,19833,65321,2901,68222,0.462,237100,50299
1600000US0678582,Thousand Oaks city,126966,84912,1827,945,12667,178,9930,16507,25260,48131,46620,1511,13913,32707,59189,3902,63091,0.4687,858200,114791
1600000US2071000,Topeka city,126587,86642,13218,1723,2073,153,7707,15071,20749,60054,53938,6116,24354,29584,59323,2081,61404,0.4631,123400,49040
1600000US0672016,Simi Valley city,126356,75753,2039,1200,13526,210,15685,17943,35921,43927,43031,896,12119,30912,67695,4505,72200,0.4198,685500,101621
1600000US2915670,Columbia city,126254,91516,15038,398,7084,89,2734,9395,6195,55928,51124,4804,27949,23175,65995,3866,69861,0.4792,245800,60662
1600000US0681666,Vallejo city,126090,30451,25133,1426,29723,1343,22107,15907,35835,45523,43539,1984,19029,24510,56850,6238,63088,0.468,505400,77711
